iso3c,Country_Name,Military_Personnel,Population_Total,Military_Expenditure_Per_Capita_Current_USD,Military_Prop_of_Population_Pct,Military_Personnel_Year,Expenditure_Year
AFG,Afghanistan,165000,40000412,6.956198051533245,0.4124957512937617,2020,2021
AGO,Angola,117000,36749906,34.56221805227801,0.31836816126822204,2020,2023
ALB,Albania,8000,2745972,144.80031590618768,0.29133581842786455,2020,2023
ARE,United Arab Emirates,63000,9401038,NA,0.6701387655278066,2020,NA
ARG,Argentina,103000,45538401,68.55515986145166,0.22618273311792392,2020,2023
ARM,Armenia,47000,2964300,448.51486870364334,1.5855345275444455,2020,2023
ATG,Antigua and Barbuda,0,91846,NA,0,2020,NA
AUS,Australia,60000,26652777,1213.3825178861325,0.22511725513630343,2020,2023
AUT,Austria,23000,9131761,482.9282395450867,0.25186817745230083,2020,2023
AZE,Azerbaijan,82000,10153958,350.76672448667705,0.8075668621044129,2020,2023
BDI,Burundi,31000,13689450,10.759329025116056,0.22645175664471545,2020,2023
BEL,Belgium,24000,11787423,647.2489015288525,0.20360684434587611,2020,2023
BEN,Benin,12000,14111034,9.976307295193887,0.08503983478460897,2020,2023
BFA,Burkina Faso,11000,23025776,35.888373151866674,0.047772548469159085,2020,2023
BGD,Bangladesh,227000,171466990,24.541002912274777,0.13238699763727116,2020,2023
BGR,Bulgaria,37000,6446596,297.5904427277295,0.5739463121312395,2020,2023
BHR,Bahrain,19000,1577059,877.4412344399797,1.2047742031211262,2020,2023
BHS,"Bahamas, The",2000,395863,NA,0.5052252925885976,2020,NA
BIH,Bosnia and Herzegovina,11000,3185073,68.03675128716297,0.3453610011450287,2020,2023
BLR,Belarus,158000,9178298,152.87520192634733,1.7214520600660383,2020,2023
BLZ,Belize,2000,411106,64.34231682339835,0.4864925347720539,2020,2023
BOL,Bolivia,71000,12244159,52.6191129911798,0.5798683274204459,2020,2023
BRA,Brazil,762000,211140729,108.3991844981278,0.360896736318458,2020,2023
BRB,Barbados,1000,281698,NA,0.35499009577632784,2020,NA
BRN,Brunei Darussalam,8000,458949,978.129358010243,1.7431130692081256,2020,2023
BWA,Botswana,9000,2480244,206.40304687439018,0.3628675243242197,2020,2023
CAF,Central African Republic,10000,5152421,12.095616748284487,0.19408351918447658,2020,2023
CAN,Canada,72000,40083484,679.1211901823355,0.17962510444451385,2020,2023
CHE,Switzerland,20000,8888093,708.0698466818866,0.2250201477414784,2020,2023
CHL,Chile,114000,19658835,279.34825353327244,0.5798919417147558,2020,2023
CHN,China,2535000,1410710000,210.13430424593858,0.17969674844581807,2020,2023
CIV,Cote d'Ivoire,27000,31165654,21.86761181399187,0.08663383094736277,2020,2023
CMR,Cameroon,34000,28372687,16.076314654728826,0.119833556828791,2020,2023
